4, 16, 4.4e-06, 5.63402e-07, 4.58269e-07, 4.59172e-07
5, 32, 9.5e-06, 1.15992e-06, 9.15436e-07, 4.58006e-07
6, 64, 1.77e-05, 1.93719e-06, 1.45951e-06, 5.47558e-07
7, 128, 3e-05, 2.68603e-06, 1.96532e-06, 5.08333e-07
8, 256, 4.69e-05, 3.37677e-06, 2.41705e-06, 4.53845e-07
9, 512, 7.88e-05, 4.08713e-06, 2.86482e-06, 4.50457e-07
10, 1024, 0.0001429, 4.82317e-06, 3.30978e-06, 4.48163e-07
11, 2048, 0.0002597, 5.58513e-06, 3.75325e-06, 4.46624e-07
12, 4096, 0.0005065, 6.45e-06, 4.22845e-06, 4.82437e-07
13, 8192, 0.0010144, 7.34471e-06, 4.7084e-06, 4.83025e-07
14, 16384, 0.0020746, 8.28187e-06, 5.19298e-06, 4.88412e-07
15, 32768, 0.0043602, 9.44151e-06, 5.74254e-06, 5.55144e-07
16, 65536, 0.0082106, 1.03452e-05, 6.18157e-06, 4.43151e-07
17, 131072, 0.0159873, 1.12762e-05, 6.62116e-06, 4.4364e-07
18, 262144, 0.0322332, 1.23314e-05, 7.07243e-06, 4.56503e-07
19, 524288, 0.0644212, 1.33742e-05, 7.5114e-06, 4.45477e-07
20, 1048576, 0.141225, 1.46169e-05, 7.98385e-06, 4.80331e-07
21, 2097152, 0.28719, 1.58803e-05, 8.4497e-06, 4.73536e-07
22, 4194304, 0.584258, 1.71948e-05, 8.92631e-06, 4.8303e-07
23, 8388608, 2.00118, 4.42065e-05, 2.27554e-05, 4.46458e-07
24, 16777216, 3.08298, 4.5467e-05, 2.31998e-05, 4.52528e-07
25, 33554432, 8.37771, 9.22624e-05, 4.68537e-05, 4.62755e-07
26, 67108864, 13.2503, 9.37053e-05, 4.73382e-05, 4.95335e-07
27, 134217728, 22.8789, 9.50627e-05, 4.77838e-05, 4.5622e-07
28, 268435456, 42.7893, 9.64894e-05, 4.8246e-05, 4.7219e-07
